Firma Adı,Telefon,Web Sitesi,E-Posta
2D KİMYA SAN. VE TİC. LTD. ŞTİ.,+90 216 583 0959,https://www.2dkimya.com/,Email bulunamadı
AARO YAZILIM VE MAKİNA ANONİM ŞİRKETİ,+90 542 266 2276,https://www.aaro.com.tr/,iletisim@aaro.com.trTakip
ADANUS PLASTİK AMB. TOP. AYIR. GERİ DÖN. ATIK BER. İNŞ. İTH. İHR. SAN. TİC. LTD. ŞTİ.,+90 322 394 4050,https://www.adanusplastik.com.tr/En/Default.aspx,info@adanusplastik.com.tr
ADEMOĞLU PLASTİK İTHALAT VE İHRACAT SAN. TİC. LTD. ŞTİ.,+90 212 671 0384,https://www.ademogluplastik.com,info@ademogluplastik.com
AİS MÜHENDİSLİK SAN.TİC.LTD.ŞTİ.,+90 541 634 1220,https://aismuhendislik.com/,info@aismuhendislik.com
ALTECH MAKİNE SAN. VE TİC. A.Ş.,+90 212 505 2273,https://www.altechmakina.com,Email bulunamadı
ASÇEV PLASTİK GERİ DÖNÜŞÜM AMBALAJ İNŞ. İTH.İHR.SAN.VE TİC.LTD.ŞTİ.,+90 533 775 1637,https://ascev.com.tr/,info@ascev.com.tr
ATEX PLASTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,+90 553 981 0369,Yok,Web sitesi yok
ATOMİKA MAKİNA TİCARET LİMİTED ŞİRKETİ,+90 312 219 0600,http://atomika.com.tr,info@atomika.com.tr
AVİENT TURKEY RENKLENDİRİCİ VE KATKI MADDELERİ SAN. VE TİC. A.Ş.,+90 532 246 0360,https://www.avient.com/,Email bulunamadı
AVRASYA GERİ KAZANIM TİC.VE SAN.LTD.ŞTİ.,+90 212 886 4664,https://avrasyaplastic.com,Email bulunamadı
BATİM KİMYA SANAYİ İTHALAT İHRACAT LTD.ŞTİ.,+90 544 910 0606,https://www.batimkimya.com/,06info@batimkimya.comBatim
BENHÜR PLAST AMBALAJ SAN. VE TİC. LTD. ŞTİ.,+90 312 802 0638,https://www.benhurplast.com.tr/,info@benhurplast.com.tr
BİRLİK GERİ DÖNÜŞÜM PLASTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,+90 212 567 3850,https://birlikgeridonusum.com/,info@birlikgeridonusum.com
BORBAYLAR POLİMER GERİ DÖNÜŞÜM İTHALAT İHRACAT SAN.  VE TİC. LTD. ŞTİ.,+90 388 502 4445,https://www.borbaylarpolimer.com,Email bulunamadı
BURKAY UĞUR KAUÇUK KİMYA VE PETROL ÜRÜN. SAN. TİC. A.Ş.,+90 530 698 7211,https://www.burkayugur.com,info@burkayugur.com
BURPOL POLİMER PLASTİK SAN. TİC. A.Ş.,+90 224 250 5454,https://www.burpol.com/,Email bulunamadı
ÇELENK GERİ DÖNÜŞÜM PLASTİK AMBALAJ SAN TİC LTD ŞTİ,+90 212 576 0411,https://www.celenkplastik.com/,info@celenkplastik.com
DENİZ PLASTİK GIDA İNŞAAT SAN. TİC. LTD. ŞTİ.,+90 322 429 6687,https://denizplastik.com.tr/,info@denizplastik.com.tr
DESIGN BY ZELİHA SUNAL,+90 542 212 0890,http://www.zelihasunal.com,Email bulunamadı
DİSAN HİDROLİK MAKİNA SANAYİ TİC. LTD. ŞTİ.,+90 212 551 4668,https://disan.com.tr,88info@disan.com.trTesis
DOĞA MADENCİLİK ENDÜSTRİ İNŞAAT VE TİCARET A.Ş.,+90 216 680 6000,https://doga.com.tr/,info@doga.com.tr
DTR TURKEY MAKİNE İTH. İHR. LTD. ŞTİ.,+90 530 855 2069,https://www.dtrmakina.com/,info@dtrmakina.com
E3TAM ENDÜSTRİYEL VE BİLİMSEL TEST TEKNOLOJİLERİ TAS.ARAŞTIRMA GELİŞTİRME MÜH.OTOM.SAN.VE TİC.A.Ş.,+90 212 275 2280,https://www.e3tam.com,Email bulunamadı
ECOSAN AMBALAJ GERI DÖNÜSÜM SANAYI VE TICARET ANONIM SIRKETI,+90 532 256 9887,http://ecosantr.com/,Email bulunamadı
ENES ÖZMEN PLASTİK,+90 224 999 3390,https://eozmenplastik.com/,eozmen@eozmenplastik.com
FAVORİ GRUP PLASTİK VE MAKİNE SAN. TİC. AŞ.,+90 212 407 0607,https://favorigrup.com/,info@favorigrup.com
FEMAK MAKİNA ENGİN BAŞBAYRAK,+90 507 991 6550,http://www.femakmakina.com,femakmakina@gmail.com
FEYDAŞ MAKİNA VE MÜHENDİSLİK LTD.ŞTİ,+90 322 428 0145,https://www.feydasmakina.com/,info@feydasmakina.com
GÖKSU PLASTİK AMBALAJ SANAYİ VE TİCARET LTD ŞTİ,+90 212 613 9224,http://www.goksuplastik.com.tr,Email bulunamadı
GÜNAY İNŞAAT GERİ DÖNÜŞÜM TAŞIMACILIK TEKSTİL MADENCİLİK SAN. VE TİC. LTD. ŞTİ.,+90 532 482 5115,http://www.gunaygeridonusum.com/,Email bulunamadı
GÜRPİLSAN PLASTİK SAN. VE TİC. LTD. ŞTİ.,+90 332 355 1745,https://gurpilsan.com/,info@gurpilsan.com
HAKAN GERİ DÖNÜŞÜM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,+90 553 722 3083,https://www.hakangeridonusum.com/,info@hakangeridonusum.com
HASTEK PLAS. TEKN. OTOMASYON SİST. PAZ. SAN. TİC. LTD. ŞTİ,+90 212 671 6050,https://www.hastek.com.tr,Email bulunamadı
HİS GÜMRÜK MÜŞAVİRLİĞİ LTD.ŞTİ.,+90 850 241 8423,https://www.hisgumrukleme.com.tr,info@hisgumrukleme.com.tr
HKN ELEKTRONİK MAKİNE İMALAT İTH. İHR. SAN. VE TİC. LTD. ŞTİ,+90 532 480 5008,http:www.hknmakinecom.tr,Hata: Invalid URL 'http:www.hknmakinecom.tr': No host supplied
HUZUR GERİ DÖNÜŞÜM GRANÜL PLASTİK AMB. İTH. İHR. TİC. VE SAN. LTD. ŞTİ.,+90 535 303 1212,https://huzurgeridonusum.com/,info@huzurgeridonusum.com
İNAN GERİ DÖNÜŞÜM SİSTEMLERİ AŞ,+90 212 280 0376,https://inanmakine.com/,info@inanmakine.com
İNAN PLASTİK MAKİNALARI SANAYİ VE TİCARET A.Ş,+90 282 674 5022,https://www.inanplastics.com/,info@inanplastics.com
İSTANBUL TEKNİK ÜNİVERSİTESİ (İTÜ),+90 541 621 7841,https://sgpl.itu.edu.tr/homepage,Email bulunamadı
KİMHEX KİMYA PLASTİK SANAYİ TİCARET ANONİM ŞİRKETİ,+90 216 565 8003,Yok,Web sitesi yok
KÖKSAN PET VE PLASTİK AMBALAJ SAN VE TİC A.Ş.,+90 342 357 0330,https://koksan.com/,info@koksan.com
LINEMEDIA BİLİŞİM LİMİTED ŞİRKETİ,+90 212 900 4766,https://machineryline.com.tr,Email bulunamadı
LOOPBOT - EMAYER MAKİNE İMALAT SAN. VE TİC.LTD.ŞTİ.,+90 850 303 3461,https://www.loopbot.co,info@loopbot.co
METROPLAST AMBALAJ TEKSTİL SAN. VE TİC. A.Ş.,+90 212 501 9309,https://www.metroplast.com.tr,info@metroplast.com.tr
MİTİS GROUP MAKİNE SAN. VE DIŞ. TİC. LTD. ŞTİ.,+90 542 289 7894,https://www.mitis-group.com/,info@mitis-group.com
MRP BİLGİ TEKNOLOJİLERİ SAN. VE TİC. A.Ş.,+90 232 229 0511,https://www.steelradar.com/,Email bulunamadı
MTM PLASTİK GERİ DÖNÜŞÜM TOPLAMA VE AYIRMA KİMYA TEKS. DAN. SAN. VE TİC. LTD. ŞTİ.,+90 342 337 3215,https://www.mtmplastik.com.tr/tr,Email bulunamadı
NETPLASMAK MAKİNA SANAYİ TİCARET AŞ,+90 532 616 2299,https://www.netplasmak.com,Email bulunamadı
NEV POLİMER GERİ DÖNÜŞÜM A.Ş.,+90 552 830 2922,https://nevpolimer.com/,info@nevpolimer.com
NİŞANTAŞI RÜŞTÜ ÜZEL KIZ MESLEKİ VE TEKNİK ANADOLU LİSESİ,+90 212 233 1674,http://nisantasirustuuzel.meb.k12.tr/,Email bulunamadı
NORDMANN RASSMANN TURKEY DIŞ TİC AŞ,+90 216 808 0001,https://www.nordmann.global,Email bulunamadı
OĞUZ GERİ DÖNÜŞÜM MAKİNALARI SAN. VE TİC. A.Ş.,+90 232 254 7161,https://www.oguzmakina.com.tr/,Email bulunamadı
OPERATION CLEAN SWEEP,+90 212 425 1313,https://www.operationcleansweep.com/,info@operationcleansweep.com
OSO ORTAK SATINALMA ORGANİZASYONU ELEKTRONİK TİCARET VERİ VE İLETİŞİM HİZMETLERİ A.Ş,+90 212 549 4009,https://www.osoline.com.tr,info@osoline.net
ÖZADİL PLASTİK GERİ DÖNÜŞÜM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,+90 212 576 5559,https://ozadilplastik.com,info@ozadilplastik.com
PCR AMBALAJ ATIKLARI GERİ KAZANIM A.Ş.,+90 536 593 7626,https://paag.com.tr/,Email bulunamadı
PLASTİC MOVE BİYOTEKNOLOJİ ANONİM ŞİRKETİ,+90 530 505 0324,https://www.plasticmove.com/,Email bulunamadı
PLASTİK SANAYİCİLERİ DERNEĞİ İKTİSADİ İŞLETMESİ,+90 216 629 2914,https://www.pagder.org/,Email bulunamadı
POLİGER MAKİNA DIŞ TİC. SAN. VE TİC. LTD. ŞTİ.,+90 535 458 5458,Yok,Web sitesi yok
POLYTEKPROM TEKNİK MAKİNA İTH.İHR.SAN. VE TİC.LTD.ŞTİ.,+90 533 065 9080,https://polytekprom.eu/,sales@polytekprom.com
RAINBOW COLOR PLASTİK SAN.TİC.LTD.ŞTİ,+90 282 746 1015,https://www.rainbowcolor.com.tr/,Email bulunamadı
RAVAGO PETROKİMYA ÜRETİM A.Ş.,+90 850 314 7099,https://www.ravagopetrokimya.com/,rpu.info@ravago.com
RECYTECH PLASTİK GERİ DÖNÜŞÜM HİZM. SAN. VE TİC.  A.Ş,+90 553 044 6908,Yok,Web sitesi yok
RÜSTEM POLAT PLASTİK EĞİTİM DANIŞMANLIK MÜH. İTH. İHR.SAN. VE TİC. LTD. ŞTİ.,+90 532 371 1729,https://www.rustempolat.com/,Email bulunamadı
SAYDAŞ PLASTİK METAL GERİ DÖNÜŞÜM NAK. İNŞ. SAN. VE TİC. LTD. ŞTİ.,+90 262 658 2288,https://saydasplastik.com.tr/,info@saydasplastik.com.trAnasayfaKurumsalHakk
SİVAS NALBURİYE İNŞ MALZ TİC A.Ş.,+90 212 253 4643,Yok,Web sitesi yok
SOMPLAST PLASTİK DIŞ TİC.VE SA.LTD.ŞTİ,+90 212 251 3054,https://www.somplast.com.tr/,info@somplast.com.tr
SUDE YAYINCILIK-TİMUR OLGUN,+90 212 612 0948,http://www.sudeyayincilik.com,ajans@sudeyayincilik.com
SÜRDÜRÜLEBİLİR YEŞİL GELECEK DERNEĞİ,+90 505 290 3134,Yok,Web sitesi yok
ŞAM YAPI ANONİM ŞİRKETİ,+90 264 359 5250,https://www.csrplastic.com/,Email bulunamadı
TAIWAN TRADE CENTER,+90 212 290 4000,https://www.taiwantrade.com,Email bulunamadı
TANRIKULU PLASTİK SAN TİC AŞ,+90 262 335 1288,http://www.tanrikulu.com.tr/tr/,pazarlama@tanrikulu.com.tr
TEKSAN AMBALAJ SANAYİ TİCARET ANONİM ŞİRKETİ,+90 342 337 9646,https://www.teksanambalaj.net/,Email bulunamadı
TEZELMAK PLASTİK GERİ DÖN. SİST. İML. İTH. İHR. SAN. VE TİC. LTD. ŞTİ.,+90 533 260 7632,https://blackpiranha.com.tr,info@blackpiranha.com.tr
TOMRA SORTING TURKEY MAK SAN VE TİC AŞ,+90 216 526 3337,https://www.tomra.com/recycling,Email bulunamadı
TURHAN AMBALAJ VE GERİ DÖNÜŞÜM SANAYİ TİCARET LTD.ŞTİ.,+90 224 482 5060,http://www.turhangeridonusum.com,Email bulunamadı
"TÜRK PLASTİK SANAYİCİLERİ ARAŞTIRMA, GELİŞTİRME VE EĞİTİM VAKFI",+90 212 425 1313,https://pagev.net,pagev@pagev.org.tr
"TÜRK PLASTİK SANAYİCİLERİ ARAŞTIRMA, GELİŞTİRME VE EĞİTİM VAKFI İKTİSADİ İŞLETMESİ (PAGÇEV)",+90 212 425 1313,https://pagcev.org/,Email bulunamadı
UNTHA MAKİNA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,+90 216 687 2991,https://www.untha.com/p/turkiye,info.turkiye@untha.com
ÜMİT ATIŞ BEREKET GERİ DÖNÜŞÜM PLASTİK ALIM SATIMI,+90 541 846 0165,https://bereketplast.com,sales2@bereketplast.com
ÜSTÜNİŞ MAKİNA SAN. VE TİC AŞ,+90 282 674 4355,https://www.ustunismakina.com.tr/,info@ustunismakina.com.tr
VİKOTECH MAKİNE SANAYİ TİCARET LİMİTED ŞİRKETİ,+90 212 549 1972,https://vikotechmakina.com/,Email bulunamadı
VİZYON VİDA KOVAN MAKİNA İMALAT SAN VE TİC LTD ŞTİ,+90 212 407 0600,http://www.vizyonvida.com/,info@vizyonvida.com
WINTECH PLAS MAKİNA SAN. VE TİC.LTD. ŞTİ,+90 501 346 5299,https://www.wintechmc.com/,info@wintechmc.com
YAĞMUR FUARCILIK YAYINCILIK TANITIM HİZMETLERİ LTD.ŞTİ.,+90 212 272 4560,https://plastik-ambalaj.com/tr/,Email bulunamadı
YAVUZPACK DIŞ TİC. AMB. SAN. VE TİC. LTD. ŞTİ.,+90 532 178 0156,https://yavuzpack.com/,info@yavuzpack.com
YENİGÜN POLİMER TİCARET A.Ş.,+90 545 769 0076,https://yenigunpolimer.com,info@yeniguntrade.com
YEŞİL EKO HAM MADDE PLASTİK VE SANAYİ TİC.LTD.ŞTİ,+90 539 573 2326,https://www.yesileko.com/,info@yesileko.com
YUNUS MAKİNA NEZAHAT ÇEPCİ,+90 535 724 2075,https://www.yunusplastikmakina.com/,"Hata: HTTPSConnectionPool(host='www.yunusplastikmakina.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x000002A61B5CE3D0>: Failed to resolve 'www.yunusplastikmakina.com' ([Errno 11001] getaddrinfo failed)""))"
ZAMANLAR KUYUMCULUK PLASTİK İMAL. VE PAZ. SAN. VE TİC. LTD. ŞTİ.,+90 262 502 3044,https://zamanlarplastik.com/,info@example.com
